filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
044____3_10-000.jpg,1643633,"{}",100,0,"{""name"":""rect"",""x"":189,""y"":314,""width"":757,""height"":909}","{""region"":""wappen""}"
044____3_10-000.jpg,1643633,"{}",100,1,"{""name"":""rect"",""x"":1132,""y"":326,""width"":616,""height"":890}","{""region"":""wappen""}"
044____3_10-000.jpg,1643633,"{}",100,2,"{""name"":""rect"",""x"":1949,""y"":293,""width"":709,""height"":917}","{""region"":""wappen""}"
044____3_10-000.jpg,1643633,"{}",100,3,"{""name"":""rect"",""x"":200,""y"":1270,""width"":758,""height"":903}","{""region"":""wappen""}"
044____3_10-000.jpg,1643633,"{}",100,4,"{""name"":""rect"",""x"":1070,""y"":1258,""width"":753,""height"":915}","{""region"":""wappen""}"
044____3_10-000.jpg,1643633,"{}",100,5,"{""name"":""rect"",""x"":1920,""y"":1260,""width"":750,""height"":905}","{""region"":""wappen""}"
044____3_10-000.jpg,1643633,"{}",100,6,"{""name"":""rect"",""x"":207,""y"":2218,""width"":753,""height"":910}","{""region"":""wappen""}"
044____3_10-000.jpg,1643633,"{}",100,7,"{""name"":""rect"",""x"":1127,""y"":2218,""width"":693,""height"":908}","{""region"":""wappen""}"
044____3_10-000.jpg,1643633,"{}",100,8,"{""name"":""rect"",""x"":1932,""y"":2220,""width"":777,""height"":903}","{""region"":""wappen""}"
044____3_10-000.jpg,1643633,"{}",100,9,"{""name"":""rect"",""x"":183,""y"":3168,""width"":843,""height"":931}","{""region"":""wappen""}"
044____3_10-000.jpg,1643633,"{}",100,10,"{""name"":""rect"",""x"":1108,""y"":3168,""width"":743,""height"":931}","{""region"":""wappen""}"
044____3_10-000.jpg,1643633,"{}",100,11,"{""name"":""rect"",""x"":1991,""y"":3180,""width"":641,""height"":927}","{""region"":""wappen""}"
044____3_10-000.jpg,1643633,"{}",100,12,"{""name"":""rect"",""x"":453,""y"":250,""width"":238,""height"":60}","{""region"":""text""}"
044____3_10-000.jpg,1643633,"{}",100,13,"{""name"":""rect"",""x"":1293,""y"":250,""width"":345,""height"":60}","{""region"":""text""}"
